OBJECTID,SubSymbol,Period,Years_before,Period_c,Main_Rock_Type,Photo_Ref_no,Main_Rock_Type_c,Years_before_c,Photo1,Photo2,Photo3,Photo1_link,Photo2_link,Photo3_link
422,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
423,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
424,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
430,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
431,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
434,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
436,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
439,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
440,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
441,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
442,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
443,QS,Quaternary,0-1.8,第四系,"Superficial Deposits (Silt, sand and gravel)",21&22,表土沉積 (粉砂，砂和礫石),0-1.8,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Colluvium.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Alluvium.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Colluvium.png,
449,RE,-,-,-,Fill,,填土,-,,,,,,
450,RE,-,-,-,Fill,,填土,-,,,,,,
451,RE,-,-,-,Fill,,填土,-,,,,,,
452,RE,-,-,-,Fill,,填土,-,,,,,,
453,RE,-,-,-,Fill,,填土,-,,,,,,
454,RE,-,-,-,Fill,,填土,-,,,,,,
455,RE,-,-,-,Fill,,填土,-,,,,,,
456,RE,-,-,-,Fill,,填土,-,,,,,,
457,RE,-,-,-,Fill,,填土,-,,,,,,
458,RE,-,-,-,Fill,,填土,-,,,,,,
459,RE,-,-,-,Fill,,填土,-,,,,,,
460,RE,-,-,-,Fill,,填土,-,,,,,,
461,RE,-,-,-,Fill,,填土,-,,,,,,
462,RE,-,-,-,Fill,,填土,-,,,,,,
464,RE,-,-,-,Fill,,填土,-,,,,,,
465,RE,-,-,-,Fill,,填土,-,,,,,,
466,RE,-,-,-,Fill,,填土,-,,,,,,
467,RE,-,-,-,Fill,,填土,-,,,,,,
469,RE,-,-,-,Fill,,填土,-,,,,,,
470,RE,-,-,-,Fill,,填土,-,,,,,,
471,RE,-,-,-,Fill,,填土,-,,,,,,
472,RE,-,-,-,Fill,,填土,-,,,,,,
473,RE,-,-,-,Fill,,填土,-,,,,,,
474,RE,-,-,-,Fill,,填土,-,,,,,,
476,RE,-,-,-,Fill,,填土,-,,,,,,
478,RE,-,-,-,Fill,,填土,-,,,,,,
479,RE,-,-,-,Fill,,填土,-,,,,,,
480,RE,-,-,-,Fill,,填土,-,,,,,,
481,RE,-,-,-,Fill,,填土,-,,,,,,
482,RE,-,-,-,Fill,,填土,-,,,,,,
483,RE,-,-,-,Fill,,填土,-,,,,,,
484,RE,-,-,-,Fill,,填土,-,,,,,,
485,RE,-,-,-,Fill,,填土,-,,,,,,
486,RE,-,-,-,Fill,,填土,-,,,,,,
487,RE,-,-,-,Fill,,填土,-,,,,,,
488,RE,-,-,-,Fill,,填土,-,,,,,,
489,RE,-,-,-,Fill,,填土,-,,,,,,
490,RE,-,-,-,Fill,,填土,-,,,,,,
491,RE,-,-,-,Fill,,填土,-,,,,,,
492,RE,-,-,-,Fill,,填土,-,,,,,,
493,RE,-,-,-,Fill,,填土,-,,,,,,
494,RE,-,-,-,Fill,,填土,-,,,,,,
495,RE,-,-,-,Fill,,填土,-,,,,,,
496,RE,-,-,-,Fill,,填土,-,,,,,,
497,RE,-,-,-,Fill,,填土,-,,,,,,
498,RE,-,-,-,Fill,,填土,-,,,,,,
499,RE,-,-,-,Fill,,填土,-,,,,,,
500,RE,-,-,-,Fill,,填土,-,,,,,,
501,RE,-,-,-,Fill,,填土,-,,,,,,
502,RE,-,-,-,Fill,,填土,-,,,,,,
503,RE,-,-,-,Fill,,填土,-,,,,,,
504,RE,-,-,-,Fill,,填土,-,,,,,,
505,RE,-,-,-,Fill,,填土,-,,,,,,
506,RE,-,-,-,Fill,,填土,-,,,,,,
507,RE,-,-,-,Fill,,填土,-,,,,,,
509,RE,-,-,-,Fill,,填土,-,,,,,,
510,RE,-,-,-,Fill,,填土,-,,,,,,
512,RE,-,-,-,Fill,,填土,-,,,,,,
513,RE,-,-,-,Fill,,填土,-,,,,,,
514,RE,-,-,-,Fill,,填土,-,,,,,,
519,RE,-,-,-,Fill,,填土,-,,,,,,
520,RE,-,-,-,Fill,,填土,-,,,,,,
537,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
549,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
550,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
551,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
552,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
553,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
554,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
555,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
556,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
558,CS,Carboniferous,299-359,石炭系,"Graphitic siltstone, sandstone and marble",2&3,石墨粉砂岩，砂岩和大理石,299-359,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Graphite Schist.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Marble.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Graphite Schist.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Marble.png,
559,CS,Carboniferous,299-359,石炭系,"Graphitic siltstone, sandstone and marble",2&3,石墨粉砂岩，砂岩和大理石,299-359,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Graphite Schist.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Marble.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Graphite Schist.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Marble.png,
560,DB,Devonian,359-416,泥盆系,"Quartz sandstone, siltstone with conglomerate",1,石英砂岩，粉砂岩夾礫岩,359-416,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Conglomerate.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Conglomerate.png,,
561,DB,Devonian,359-416,泥盆系,"Quartz sandstone, siltstone with conglomerate",1,石英砂岩，粉砂岩夾礫岩,359-416,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Conglomerate.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Conglomerate.png,,
562,DB,Devonian,359-416,泥盆系,"Quartz sandstone, siltstone with conglomerate",1,石英砂岩，粉砂岩夾礫岩,359-416,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Conglomerate.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Conglomerate.png,,
563,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
564,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
565,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
566,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
567,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
568,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
569,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
570,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
571,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
572,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
573,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
574,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
575,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
576,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
577,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
578,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
579,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
580,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
581,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
582,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
583,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
584,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
585,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
586,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
587,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
588,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
589,JGd,Jurassic,145-199,侏羅系,Granodiorite,8,花崗閃長岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Granodiorite.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Granodiorite.png,,
590,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
591,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
592,JS,Jurassic,145-199,侏羅系,"Sandstone, siltstone and mudstone",5&6,砂岩，粉砂岩和泥岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_1.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Mudstone.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_1.png,
593,JT,Jurassic,145-199,侏羅系,Tuff and Lava,"7,9&10",凝灰岩及熔岩,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Andesite Lava.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Coarse Ash Crystal Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Tuff.png
