District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Sai Kung,TKO Spot (non-residential),13/7/2020,"1596, 1861",2
Kwun Tong,Tsui Nam House Tsui Ping Estate (non-residential),13/7/2020,1940,1
Wong Tai Sin,Tsz Ching Shopping Centre II (non-residential),13/7/2020,1552,1
Wong Tai Sin,Tsz Lok Estate Lok Tin House (non-residential),13/7/2020,1842,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),13/7/2020,"1404, 1444, 1477, 1507, 1508, 1538, 1549, 1556, 1564, 1565, 1570, 1583, 1586, 1588, 1603, 1637",16
Wong Tai Sin,Tsz Wan Shan Shopping Centre KFC (non-residential),13/7/2020,1845,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre McDonald's (non-residential),13/7/2020,1555,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Tai Hing House (non-residential),13/7/2020,1902,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Windsor (non-residential),13/7/2020,"1477, 1514, 1517, 1534, 1555, 1567, 1569, 1572, 1583, 1666, 1744, 1757, 1802, 1819, 2187, 2636",16
Wong Tai Sin,"Tsz Wan Shan Shopping Centre, Genki Sushi (non-residential)",13/7/2020,1668,1
Wong Tai Sin,"Tsz Wan Shan Shopping Centre, Tai Hing House (non-residential)",13/7/2020,1902,1
Tuen Mun,Tuen Mun Public Library (non-residential),13/7/2020,1734,1
Tuen Mun,Wai Cheung Industrial Building 祥順景餐廳 (non-residential),13/7/2020,2083,1
Tuen Mun,Waldorf Shopping Arcade 雲南小鍋米線 (non-residential),13/7/2020,1743,1
Sham Shui Po,West Kowloon Law Courts Building Block B (non-residential),13/7/2020,1672,1
Sha Tin,Wo Che Estate Cooked Food Stall Golden (non-residential),13/7/2020,1785,1
Sha Tin,Wo Che Plaza 金百滬 (non-residential),13/7/2020,"1372, 1434",2
Wong Tai Sin,"Wong Tai Sin Temple Mall, Aroi Thai (non-residential)",13/7/2020,1579,1
Yau Tsim Mong,164 Ma Tau Wei Road (non-residential),14/7/2020,1924,1
Kwai Tsing,18- 24 Kwai Cheong Road (non-residential),14/7/2020,2055,1
Sham Shui Po,"276 Yau Chau Street, 肥仔記 (non-residential)",14/7/2020,1611,1
Yau Tsim Mong,29A Cameron Road (non-residential),14/7/2020,1924,1
Yau Tsim Mong,53-54 Kimberley Road (non-residential),14/7/2020,1717,1
Wong Tai Sin,58 Yuk Wah Street (non-residential),14/7/2020,1679,1
Yau Tsim Mong,631-633 Shanghai Street Sun Kwong Nam Restaurant (non-residential),14/7/2020,1799,1
Tai Po,8 Chui Lok Street (non-residential),14/7/2020,1806,1
Yau Tsim Mong,8D Mong Kok Road (non-residential),14/7/2020,1845,1
Central & Western,Admiralty Centre Tower 1 (non-residential),14/7/2020,1854,1
Yau Tsim Mong,Argyle Centre Phase I (non-residential),14/7/2020,"1315, 1512, 1845",3
Yau Tsim Mong,"Austin Avenue, Austin Tower (non-residential)",14/7/2020,1717,1
Yau Tsim Mong,Carprio Mansion Mcdonald (non-residential),14/7/2020,1733,1
Central & Western,Che Sang Building (non-residential),14/7/2020,1854,1
Kwai Tsing,China Merchants Logistics Centre (non-residential),14/7/2020,1959,1
Sham Shui Po,China United Plaza (non-residential),14/7/2020,1724,1
Sai Kung,Choi Ming Shopping Centre (non-residential),14/7/2020,1594,1
Wong Tai Sin,Choi Wan Commercial Complex Choi Wan Market (non-residential),14/7/2020,1940,1
Wong Tai Sin,Choi Wan Commerical Complex (non-residential),14/7/2020,"1361, 1401, 1767",3
Wong Tai Sin,Chuk Yuen Market (non-residential),14/7/2020,1750,1
Wong Tai Sin,"Chuk Yuen Plaza, McDonalds (non-residential)",14/7/2020,1750,1
Eastern,Dak Shing Building 新釗記 (non-residential),14/7/2020,1693,1
Sham Shui Po,Dragon Centre Maxim's Cake (non-residential),14/7/2020,1611,1
Yau Tsim Mong,Edward Mansion Yuen Long Bistro (non-residential),14/7/2020,1724,1
Yau Tsim Mong,Far East Mansion (non-residential),14/7/2020,1762,1
Tai Po,Fortune Plaza (non-residential),14/7/2020,1806,1
Yau Tsim Mong,Fu Tor Loy Sun Chuen Fu Lai Building II (non-residential),14/7/2020,1733,1
Wong Tai Sin,"Fung Tak Shopping Centre, Pier 33 (non-residential)",14/7/2020,"1586, 1689, 1798",3
Yau Tsim Mong,Gala Place (non-residential),14/7/2020,"1610, 1640",2
Yau Tsim Mong,"Gateway Arcade, Harbour City, Café de Coral (non-residential)",14/7/2020,1607,1
Yau Tsim Mong,Good Hope Building London Restaurant (non-residential),14/7/2020,2137,1
Yau Tsim Mong,Grand Plaza Tao Heung (non-residential),14/7/2020,"1632, 1652, 1765, 1774, 1820, 1832, 1931, 1975, 1978, 2036, 2053, 2060, 2072, 2089, 2136, 2152, 2159, 2189, 2255, 2260, 2273, 2327, 2334, 2394, 2409, 2412, 2486, 2547, 2622, 2877, 3163",31
Yau Tsim Mong,Grand Tower Tao Heung (non-residential),14/7/2020,"1632, 1652, 1765, 1774, 1820, 1832, 1931, 1975, 1978, 2036, 2053, 2060, 2072, 2089, 2136, 2152, 2159, 2189, 2255, 2260, 2273, 2327, 2334, 2394, 2409, 2412, 2486, 2547, 2877",29
Kowloon City,"Hang Chien Court, Wyler Garden (non-residential)",14/7/2020,1754,1
Sham Shui Po,Hang Ning Court (non-residential),14/7/2020,1852,1
Sha Tin,Hin Keng Shopping Centre (non-residential),14/7/2020,1666,1
Yau Tsim Mong,"Hong Kong Scout Centre, Fulum Palace (non-residential)",14/7/2020,1783,1
Islands,Hong Kong Sky City Marriott Hotel (non-residential),14/7/2020,1576,1
Sham Shui Po,"Hong Kong Spinners Industrial Building, Phase 1 and 2, Tseung Kwan Castle Café (non-residential)",14/7/2020,1724,1
Central & Western,Jardine House (non-residential),14/7/2020,1997,1
Kwun Tong,"Kai Yin House, Kai Yip Estate  (non-residential)",14/7/2020,1836,1
Tuen Mun,Kan Yip Building (non-residential),14/7/2020,1858,1
Tai Po,"Kit Cheong Motors Limited, 8 Chui Lok Street (non-residential)",14/7/2020,1806,1
Yau Tsim Mong,Kowloon Hotel (non-residential),14/7/2020,2786,1
Wong Tai Sin,Kwong Fat Building (non-residential),14/7/2020,"1639, 1862",2
Kwun Tong,Kwun Tong Swimming Pool (non-residential),14/7/2020,1689,1
North,Luen Wo Hui Municipal Services Building (non-residential),14/7/2020,1568,1
Kwai Tsing,Maritime Square 1 (non-residential),14/7/2020,"1751, 1902",2
Kwai Tsing,"Maritime Square, Dondonya (non-residential)",14/7/2020,1902,1
Sai Kung,MCP Central (non-residential),14/7/2020,1949,1
Sai Kung,"MCP Discovery, Yuen Long Bistro (non-residential)",14/7/2020,1949,1
Kowloon City,"Metropolitan Rise, 麵麵棧 (non-residential)",14/7/2020,1633,1
Kwun Tong,"Millennium City 1, Standard Chartered Tower (non-residential)",14/7/2020,"1749, 1752",2
Sai Kung,MTR Lohas Park Station (non-residential),14/7/2020,1861,1
Wong Tai Sin,Nga Chi Wan Municipal Services Building (non-residential),14/7/2020,"1371, 1388, 1389, 1394, 1467, 1468, 1597, 1671, 1710, 1854",10
Tuen Mun,"Oi Yee House, Yau Oi Estate (non-residential)",14/7/2020,1647,1
Sai Kung,Pak Kong Water Treatment Works (non-residential),14/7/2020,1949,1
Wong Tai Sin,Penta Hotel Hong Kong (non-residential),14/7/2020,1633,1
Sai Kung,Sai Kung Tang Shiu Kin Sports Ground (non-residential),14/7/2020,2068,1
Kwun Tong,Sceneway Plaza (non-residential),14/7/2020,1738,1
Kwun Tong,Shui Wo Street Municipal Services Building (non-residential),14/7/2020,"1512, 1672",2
Wong Tai Sin,Sik Sik Yuen Social Services Complex (non-residential),14/7/2020,"1589, 1841",2
Wan Chai,SOGO Hong Kong (non-residential),14/7/2020,1607,1
Yau Tsim Mong,South Seas Centre Paramount Banquet Hall (non-residential),14/7/2020,"2083, 2170",2
Eastern,Southern Building (non-residential),14/7/2020,1633,1
Yau Tsim Mong,Star House (non-residential),14/7/2020,1648,1
Yau Tsim Mong,Sun Mong House (non-residential),14/7/2020,1799,1
Yau Tsim Mong,"Tak King House, Tak Tin Estate (non-residential)",14/7/2020,1747,1
Central & Western,The Landmark (non-residential),14/7/2020,1694,1
Yau Tsim Mong,The Langham Hong Kong (non-residential),14/7/2020,1884,1
Tuen Mun,Trend Plaza (non-residential),14/7/2020,2254,1
Wong Tai Sin,"Tropicana Gardens (Shopping Centre), Capital Restaurant (non-residential)",14/7/2020,1583,1
Wong Tai Sin,"Tsz Ching Estate, Ching Yuen House (non-residential)",14/7/2020,1845,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre Café de Coral (non-residential),14/7/2020,"1514, 1586, 1622, 1756, 1917",5
Wong Tai Sin,Tsz Wan Shan Shopping Centre Deluxe Cuisine (non-residential),14/7/2020,"1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555, 1586, 1605, 1662, 1666, 1698, 1702",15
Tuen Mun,Tuen Mun Town Plaza Dab-pa Peking & Szechuan Bistro (non-residential),14/7/2020,1772,1
Central & Western,United Centre (non-residential),14/7/2020,1672,1
Tuen Mun,Waldorf Shopping Arcade (non-residential),14/7/2020,1734,1
Wan Chai,Wan Chai Tower (non-residential),14/7/2020,1653,1
Wan Chai,Wellable Commercial Building (non-residential),14/7/2020,2099,1
Yuen Long,"YOHO MALL II, TeaWood Taiwanese Cafe & Restaurant (non-residential)",14/7/2020,1884,1
Sha Tin,Yu Chui Shopping Centre King's Fortune Banquet Hall (non-residential),14/7/2020,1568,1
Southern,198-200 Aberdeen Main Road Let's Jam (non-residential),15/7/2020,2485,1
Kwun Tong,382 Kwun Tong Road (non-residential),15/7/2020,1703,1
Yau Tsim Mong,565 Canton Road (non-residential),15/7/2020,1924,1
Central & Western,Arion Commercial Centre (non-residential),15/7/2020,1888,1
Sha Tin,Carado Garden Commerical Complex (non-residential),15/7/2020,"1497, 1694",2
Yau Tsim Mong,Champion Building (non-residential),15/7/2020,1681,1
Kwai Tsing,Cheung Fat Plaza (non-residential),15/7/2020,1650,1
Sham Shui Po,Cheung Sha Wan Catholic Secondary School (non-residential),15/7/2020,2483,1
Sha Tin,Chik Fu Mansion (non-residential),15/7/2020,1634,1
Kwun Tong,Chin Wah House (non-residential),15/7/2020,1787,1
North,"Choi Yuen Plaza, Café de Coral (non-residential)",15/7/2020,1887,1
Wong Tai Sin,Chuk Yuen Plaza (non-residential),15/7/2020,"1750, 1939",2
Kwai Tsing,Chung Mei Chuen (non-residential),15/7/2020,2137,1
Sha Tin,"Chung On Shopping Centre, Deluxe Cuisine (non-residential)",15/7/2020,1906,1
Tsuen Wan,Citywalk (non-residential),15/7/2020,2204,1
Yau Tsim Mong,Concordia Plaza (non-residential),15/7/2020,2170,1
Yau Tsim Mong,Eu Yan Sang Tower (non-residential),15/7/2020,1747,1
Kowloon City,Evangel Hospital (non-residential),15/7/2020,"1730, 1786, 1896",3
Sham Shui Po,Festival Walk (non-residential),15/7/2020,1594,1
Sham Shui Po,"Festival Walk, EXP (non-residential)",15/7/2020,1594,1
Sham Shui Po,Fu Cheong Shopping Centre McDonald's (non-residential),15/7/2020,1759,1
Sham Shui Po,Fuk Kiu Building (non-residential),15/7/2020,"1907, 1997",2
Yau Tsim Mong,Goldsland Building (non-residential),15/7/2020,2041,1
Yau Tsim Mong,Hayon Building (non-residential),15/7/2020,1833,1
Kowloon City,Homantin Plaza (non-residential),15/7/2020,1780,1
Tsuen Wan,Hong Kong Adventist Hospital - Tsuen Wan (non-residential),15/7/2020,1836,1
Kwai Tsing,"Hong Wo House, Cheung Hong Estate (non-residential)",15/7/2020,1876,1
Wan Chai,Immigration Tower (non-residential),15/7/2020,"1542, 1584, 1765, 2104, 2134",5
Wan Chai,Jade House (non-residential),15/7/2020,2490,1
Wan Chai,Jupiter Terrace (non-residential),15/7/2020,1909,1
Kwun Tong,Kai Yip Shopping Centre (non-residential),15/7/2020,1809,1
Wong Tai Sin,"Kam Pik House, Choi Hung Estate (non-residential)",15/7/2020,"1612, 1671",2
Kwai Tsing,Kam Wah Building (non-residential),15/7/2020,2730,1
Central & Western,Kennedy Town Community Complex (non-residential),15/7/2020,1759,1
Yau Tsim Mong,Kimberley Mansion (non-residential),15/7/2020,1657,1
Eastern,Kodak House II (non-residential),15/7/2020,1706,1
Yau Tsim Mong,Lee Hing Building (non-residential),15/7/2020,1934,1
Wong Tai Sin,Lok Fu Plaza Genki Sushi (non-residential),15/7/2020,2008,1
Central & Western,Luen Yau Apartments 佳記餐廳 (non-residential),15/7/2020,1759,1
North,Lung Fung Garden Tao Heung (non-residential),15/7/2020,2053,1
Tuen Mun,Lung Mun Oasis (non-residential),15/7/2020,2254,1
Sham Shui Po,Manor Centre McDonald's (non-residential),15/7/2020,2201,1
Kwun Tong,Megabox Ruby Tuesday (non-residential),15/7/2020,1990,1
Sham Shui Po,Mei Kwai House Café 100% (non-residential),15/7/2020,2011,1
Yau Tsim Mong,Metropark Hotel Mongkok Victoria Harbour Restaurant (non-residential),15/7/2020,"1483, 1768, 1799, 1906, 1919, 1951, 1799, 2090",8
Wan Chai,"Ming Fung Building, Fairwood (non-residential)",15/7/2020,1649,1
Sha Tin,MOSTown (Phase 4) (non-residential),15/7/2020,1741,1
Kwun Tong,Ping Shek Estate Market (non-residential),15/7/2020,"1455, 1710",2
Kwun Tong,"Ping Shek Estate, Fortune Harbour Restaurant (non-residential)",15/7/2020,"1414, 1710, 1869, 2094",4
Sai Kung,Po Lam Estate Po Ning House (non-residential),15/7/2020,1902,1
Wan Chai,Po Leung Kuk Gold and Silver Exchange Society Pershing Tsang School (non-residential),15/7/2020,2026,1
Kwun Tong,Po Tat Shopping Centre (non-residential),15/7/2020,2498,1
Sha Tin,Pok Hong Shopping Centre (non-residential),15/7/2020,1713,1
Central & Western,Regent Centre (non-residential),15/7/2020,1745,1
Sai Kung,Sai Kung Animal Hospital (non-residential),15/7/2020,2000,1
Wong Tai Sin,San Wah Building (non-residential),15/7/2020,1798,1
Sha Tin,"Sha Kok Commercial Centre, Fairwood (non-residential)",15/7/2020,1713,1
North,Shek Wu Hui Municipal Services Building (non-residential),15/7/2020,1947,1
North,Shek Wu Hui Municipal Services Building (non-residential),15/7/2020,1974,1
Central & Western,Shing Lee Shopping Arcade (non-residential),15/7/2020,1745,1
Yau Tsim Mong,Sincere House (non-residential),15/7/2020,1781,1
Wan Chai,Sun Hung Kai Centre (non-residential),15/7/2020,1931,1
Wong Tai Sin,Tai Shing Street Market (non-residential),15/7/2020,"1439,1599, 1618, 1757, 1914",5
Kowloon City,To Kwa Wan Honour Building (non-residential),15/7/2020,1754,1
Kowloon City,To Kwa Wan Wearbest Building (non-residential),15/7/2020,1754,1
Tsuen Wan,Tsuen King Circuit Wu Chung Swimming Pool (non-residential),15/7/2020,1642,1
Wong Tai Sin,Tsz Ching Shopping Centre II (non-residential),15/7/2020,"1552, 1662",2
Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),15/7/2020,"1404, 1444, 1477, 1507, 1508, 1520,  1538, 1549, 1556, 1564, 1565, 1570, 1579, 1583, 1586, 1588, 1601, 1603, 1637, 1667, 1669, 1680, 1702, 1705",24
Wong Tai Sin,Tsz Wan Shan Shopping Centre Kung Fu Tea (non-residential),15/7/2020,2202,1
Tuen Mun,Tuen Mun Town Plaza Dab-pa Bistro (non-residential),15/7/2020,1778,1
Tuen Mun,"Tuen Mun Town Plaza, Dab-Pa Peking & Szechuan Bistro (non-residential)",15/7/2020,"1772, 1778",2
Central & Western,Tung Hing Mansion 豪景茶餐廳 (non-residential),15/7/2020,1759,1
Eastern,Unison Industrial Building (non-residential),15/7/2020,1878,1
Eastern,Unison Industrial Building (non-residential),15/7/2020,"1878, 2212",2
Tuen Mun,"V-city, Jasmine (non-residential)",15/7/2020,1734,1
Tuen Mun,"Waldorf Shopping Arcade, TuWhite Court Café (non-residential)",15/7/2020,1772,1
Kowloon City,Wearbest Building (non-residential),15/7/2020,1754,1
Yau Tsim Mong,Yuet Yuen Building (non-residential),15/7/2020,2101,1
Yau Tsim Mong,"113 Prince Edward Road West, Sei Kee Congee (non-residential)",16/7/2020,"1724, 1799",2
Kowloon City,17 Lion Rock Road (non-residential),16/7/2020,2103,1
Yau Tsim Mong,238 Nathan Road (non-residential),16/7/2020,2011,1
Sham Shui Po,345 Tai Nam Street (non-residential),16/7/2020,2039,1
