District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
North,8 Lung Sum Avenue (non-residential),8/8/2020,4222,1
Central & Western,Albron Court (non-residential),8/8/2020,"4030, 4240",2
Eastern,Cheerful Garden (non-residential),8/8/2020,4137,1
Kwai Tsing,Cheung Hang Estate Commerical Complex (non-residential),8/8/2020,4138,1
Kowloon City,Ching Long Shopping Centre (non-residential),8/8/2020,"1695, 2109, 2164, 2448, 3140, 3385, 3876, 4038",8
Wan Chai,Chung Nam Building (non-residential),8/8/2020,4076,1
Eastern,Devon House (non-residential),8/8/2020,3975,1
Tuen Mun,Fu Tai Shopping Centre (non-residential),8/8/2020,"1731, 2649, 2966, 3287, 4239",5
Wan Chai,Golden Hill Commercial Mansion (non-residential),8/8/2020,4368,1
Kwun Tong,Hang On Building (non-residential),8/8/2020,4218,1
Central & Western,Harbour One (non-residential),8/8/2020,4160,1
Tsuen Wan,Hong Kong Adventist Hospital – Tsuen Wan (non-residential),8/8/2020,"2967, 3558, 3953, 4261",4
Kwai Tsing,"Hong Tai House, Cheung Hong Estate (non-residential)",8/8/2020,"3952, 4043",2
Kwai Tsing,"Hong Wo House, Cheung Hong Estate Fairwood (non-residential)",8/8/2020,4043,1
Yau Tsim Mong,Hung Hay Building Sun Kee Chicken Congee (non-residential),8/8/2020,"2973, 3973",2
Kowloon City,Hung Hom Municipal Services Building (non-residential),8/8/2020,"1723, 1760, 1765, 1877, 1965, 2058, 2116, 2296, 2316, 2341, 2902, 3185, 3188, 3290, 3464, 3643, 3648, 3668, 3731, 4165",20
Kwun Tong,Kai Tin Shopping Centre Victoria Harbour Restaurant (non-residential),8/8/2020,4200,1
Eastern,Kin Bong Building (non-residential),8/8/2020,4304,1
Eastern,Kornhill Plaza (South) (non-residential),8/8/2020,4021,1
Kwun Tong,Mai Hing Building 觀塘雀會 (non-residential),8/8/2020,4218,1
Kwai Tsing,Mayfair Gardens (non-residential),8/8/2020,4043,1
North,Metropolis Plaza (non-residential),8/8/2020,3975,1
Yau Tsim Mong,Ocean Terminal (non-residential),8/8/2020,4046,1
Yau Tsim Mong,Ocean Terminal Ebisoba Ichigen (non-residential),8/8/2020,4046,1
Yau Tsim Mong,Ocean Terminal HEXA (non-residential),8/8/2020,4055,1
Yau Tsim Mong,Po Leung Kuk Camões Tan Siu Lin Primary School (non-residential),8/8/2020,4228,1
Tuen Mun,Po Tin Shopping Centre (non-residential),8/8/2020,4259,1
Yau Tsim Mong,Rammon House TamJai SamGor (non-residential),8/8/2020,4262,1
Kwun Tong,Richland Gardens Commercial Building (non-residential),8/8/2020,4038,1
Kwun Tong,Richland Gardens Shopping Centre (non-residential),8/8/2020,4038,1
Tsuen Wan,Shek Ho House Shek Wai Kok Estate (non-residential),8/8/2020,4600,1
Sham Shui Po,Shek Kip Mei Estate Mei Shan House Tsui Yuen (non-residential),8/8/2020,4101,1
Central & Western,Sheung Wan Civic Centre (non-residential),8/8/2020,3954,1
Central & Western,Sheung Wan Municipal Services Building (non-residential),8/8/2020,3954,1
Yau Tsim Mong,Sino Centre (non-residential),8/8/2020,"2398, 3371, 4207",3
Yau Tsim Mong,Tai Kok Tsui Municipal Service Building (non-residential),8/8/2020,"4159, 4185",2
Kwai Tsing,Tak Tai Building (non-residential),8/8/2020,"4216, 4220, 4225",3
Kwun Tong,Telford Plaza I Maxim's Palace (non-residential),8/8/2020,3995,1
Yau Tsim Mong,The Lamma Tower Floom Floom (non-residential),8/8/2020,"3976, 4022, 4023",3
Kowloon City,Whampoa 108 Shopping Centre (non-residential),8/8/2020,4165,1
Yau Tsim Mong,Wing Shun Building (non-residential),8/8/2020,4166,1
Islands,Yat Tung Shopping Centre (non-residential),8/8/2020,"4077, 4078",2
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),8/8/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023",12
Sha Tin,Yiu On Shopping Centre Maxim's MX (non-residential),8/8/2020,4174,1
Islands,12 Tai Hing Tai Road 金興餐廳 (non-residential),9/8/2020,4119,1
Sham Shui Po,6 Humbert Street 正點心 (non-residential),9/8/2020,4257,1
Yuen Long,Aster Court (Shopping centre) (non-residential),9/8/2020,4359,1
Tuen Mun,Blossom Garden Shopping Arcade 雲貴軒米線專門店 (non-residential),9/8/2020,4496,1
Kwai Tsing,Cheung Hong Estate Commercial Complex No.1 (non-residential),9/8/2020,"3512, 3892, 3952, 3978, 4043, 4111",6
Kwai Tsing,Cheung Hong Estate Commercial Complex No.1 Fairwood (non-residential),9/8/2020,4043,1
Sai Kung,Choi Ming Shopping Centre (non-residential),9/8/2020,"1594, 2627, 4241",3
Sha Tin,Chung On Shopping Centre Café de Coral (non-residential),9/8/2020,4267,1
Wan Chai,Dorsett Wanchai Hong Kong 3T Bar (non-residential),9/8/2020,4232,1
Kwun Tong,Enterprise Square Five (non-residential),9/8/2020,4084,1
Tuen Mun,Glorious Garden Market (non-residential),9/8/2020,4192,1
Eastern,Gold Mine Building (non-residential),9/8/2020,"4213, 4228",2
Yuen Long,"Hing Fat Building, 11 Yu King Square (non-residential)",9/8/2020,4212,1
Yuen Long,Hop Yick Commercial Centre (non-residential),9/8/2020,4521,1
Yuen Long,Hung Fuk Estate Auxillary Facilities Block (non-residential),9/8/2020,4236,1
Kwun Tong,Hung To Industrial Building (non-residential),9/8/2020,4013,1
Wong Tai Sin,Kam Pik House Choi Hung Estate (non-residential),9/8/2020,"1612, 1671, 2009, 2032, 2766, 2897, 3437, 3438, 4091",9
Tuen Mun,Kin Sang Estate Commercial Centre (non-residential),9/8/2020,4496,1
Sham Shui Po,Lai Wan Market (non-residential),9/8/2020,4257,1
Kwun Tong,MegaBox (non-residential),9/8/2020,"3578, 4084, 4241",3
Kwai Tsing,On Yam Shopping Centre Grand Restaurant (non-residential),9/8/2020,4331,1
Sham Shui Po,Po On Road Municipal Services Building (non-residential),9/8/2020,"2234, 2410, 2728, 3351, 3992, 4226",6
North,Po Shu Garden Phase 3 (non-residential),9/8/2020,4222,1
Tsuen Wan,Sam Wo Building Kowloon Restaurant (non-residential),9/8/2020,4218,1
Kwun Tong,Sau Mau Ping Shopping Centre Little Onion (non-residential),9/8/2020,4328,1
North,Shek Wu Hui Municipal Services Building (non-residential),9/8/2020,"1947, 1989, 2053, 2072, 2179, 2284, 2393, 2576, 2912, 2913, 3207, 3536, 3948, 4003, 4027, 4105, 4143",17
Sham Shui Po,Smiling Plaza Ka Ho Restaurant (non-residential),9/8/2020,4115,1
Central & Western,Smithfield Municipal Services Building (non-residential),9/8/2020,"2531, 2753, 4149",3
Sham Shui Po,So Uk Shopping Centre (non-residential),9/8/2020,"1817, 2922, 4226",3
Sham Shui Po,So Uk Shopping Centre Tak Hing Yuen Seafood Restaurant (non-residential),9/8/2020,4226,1
Islands,South Office Block Super Terminal 1 (non-residential),9/8/2020,4255,1
Wan Chai,St. James' Settlement (non-residential),9/8/2020,4318,1
Wan Chai,St. James' Settlement Wanchai Integrated Family Service Centre (non-residential),9/8/2020,4318,1
Sha Tin,Sun Chui Shopping Centre (non-residential),9/8/2020,"1536, 2075, 2294, 4429",4
Kwun Tong,Sunbeam Centre (non-residential),9/8/2020,4227,1
Wong Tai Sin,Temple Mall North (non-residential),9/8/2020,"2214, 3129, 3946, 4094",4
Yau Tsim Mong,Travelodge Kowloon Marco's Oyster Bar & Grill (non-residential),9/8/2020,4141,1
Kwai Tsing,Tsing Yi Garden (non-residential),9/8/2020,4043,1
Sham Shui Po,Tung Wong House Tai Hang Tung Estate (non-residential),9/8/2020,4600,1
Tuen Mun,Venice Shopping Mall Soup Plus (non-residential),9/8/2020,4496,1
Southern,Wah Fu (II) Commercial Complex (non-residential),9/8/2020,4336,1
Sham Shui Po,Wing Fat Building (non-residential),9/8/2020,4235,1
Wan Chai,163 Hennessy Road (non-residential),10/8/2020,4558,1
Sham Shui Po,213 Un Chau Street McDonald's (non-residential),10/8/2020,4121,1
Sham Shui Po,273 Castle Peak Road (non-residential),10/8/2020,4291,1
Sham Shui Po,416 Un Chau Street McDonald's (non-residential),10/8/2020,4121,1
Tsuen Wan,63 Sham Tseng Village Sham Tseng Chan Kee Roasted Goose (non-residential),10/8/2020,4218,1
North,63A San Fung Avenue (non-residential),10/8/2020,4222,1
Tuen Mun,7 San On Street (non-residential),10/8/2020,4373,1
Kowloon City,78A To Kwa Wan Road Hon Po Restaurant (non-residential),10/8/2020,4187,1
Kwun Tong,Amoy Plaza Loving Hut (non-residential),10/8/2020,4271,1
Kowloon City,Braemar Court (non-residential),10/8/2020,4187,1
Tsuen Wan,CDW Building (non-residential),10/8/2020,4207,1
North,Choi Yuen Plaza Café De Coral (non-residential),10/8/2020,4169,1
Sha Tin,Chung On Shopping Centre Yoshinoya (non-residential),10/8/2020,4267,1
Sham Shui Po,Cronin Garden (non-residential),10/8/2020,4327,1
Kwun Tong,Everest Industrial Centre (non-residential),10/8/2020,4271,1
Tai Po,Fu Shin Shopping Centre (non-residential),10/8/2020,"3873, 4316, 4438",3
Sham Shui Po,Golden Computer Arcade (non-residential),10/8/2020,"3894, 4338",2
Eastern,Goldfield Mansion (non-residential),10/8/2020,4341,1
Yau Tsim Mong,Grand Plaza (non-residential),10/8/2020,"2164, 2574, 4338",3
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),10/8/2020,"1848, 2181, 2468, 2522, 2559, 4196",6
Sham Shui Po,Hung Yu Mansion (non-residential),10/8/2020,4121,1
Eastern,Java Road Kin Yip Mansion (non-residential),10/8/2020,4304,1
Kowloon City,Kaiser Estate Phase I (non-residential),10/8/2020,4344,1
Eastern,Kin Yip Mansion (non-residential),10/8/2020,4304,1
Yau Tsim Mong,Kowloon Funeral Parlour (non-residential),10/8/2020,4186,1
Kwun Tong,Kowloonbay International Trade & Exhibition Centre (non-residential),10/8/2020,4275,1
Kwai Tsing,Kwai Chung Plaza Fu Wah Café (non-residential),10/8/2020,4263,1
Wong Tai Sin,Kwong Fat Building (non-residential),10/8/2020,"1639, 1862, 2187, 4290",4
Kwai Tsing,Lai King Estate Car Park (non-residential),10/8/2020,4272,1
Kwai Tsing,Metroplaza (non-residential),10/8/2020,"3521, 4164, 4175",3
Kowloon City,Oi Man Plaza KFC (non-residential),10/8/2020,4188,1
Yau Tsim Mong,Olympian City 3 (non-residential),10/8/2020,4338,1
Wan Chai,One Capital Place (non-residential),10/8/2020,4434,1
Yuen Long,Po Fat Building (non-residential),10/8/2020,4521,1
Tai Po,Reve Plaza (non-residential),10/8/2020,"3323, 4163",2
Sham Shui Po,Shek Kip Mei Estate Commercial Centre (non-residential),10/8/2020,"1813, 1881, 1927, 2067, 2418, 2688, 3038, 3621, 3862, 4309",10
Tsuen Wan,Shun Hing Building (non-residential),10/8/2020,"4413, 4540",2
Yau Tsim Mong,Tai Yau Building Cosmopolitan Estates (non-residential),10/8/2020,4294,1
Yau Tsim Mong,Tat Lee Commercial Building Hot-Star Large Fried Chicken (non-residential),10/8/2020,4150,1
Kwai Tsing,The Star (non-residential),10/8/2020,4266,1
Yuen Long,Tin Shing Market (non-residential),10/8/2020,4059,1
Islands,12 Po Peng Street (non-residential),11/8/2020,4338,1
Wan Chai,128 Wan Chai Road (non-residential),11/8/2020,4242,1
Kwai Tsing,13 Kwai Wing Road 連文記大排檔 (non-residential),11/8/2020,4203,1
Yuen Long,140 On Ning Road (non-residential),11/8/2020,4337,1
Sham Shui Po,150 Castle Peak Road Sum Kee Beef Noodles Shop (non-residential),11/8/2020,4263,1
Wan Chai,2 Leighton Road (non-residential),11/8/2020,4175,1
Sham Shui Po,407 Un Chau Street 龍興燒臘茶餐廳 (non-residential),11/8/2020,4191,1
Tuen Mun,Butterfly Plaza Tai Hing (non-residential),11/8/2020,"3156, 4381",2
Eastern,Chai Wan Municipal Services Building (non-residential),11/8/2020,4230,1
Sham Shui Po,Cheung Sha Wan Wholesale Vegetable Market (non-residential),11/8/2020,4476,1
Kwun Tong,Crocodile Center The Graces Restaurant (non-residential),11/8/2020,4203,1
Kwun Tong,Domain (non-residential),11/8/2020,4151,1
Yau Tsim Mong,Fa Yuen Street Municipal Services Building (non-residential),11/8/2020,4264,1
Yau Tsim Mong,Gala Place (non-residential),11/8/2020,"1610, 1640, 1875, 2027, 2186, 2652, 3291, 4175",8
Tsuen Wan,Golden Bear Industrial Centre (non-residential),11/8/2020,4412,1
Kwun Tong,Hiu Lai Shopping Centre 榮發風味美食餐廳 (non-residential),11/8/2020,4186,1
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),11/8/2020,"1848, 2181, 2468, 2522, 2559, 4196, 4341",7
Wan Chai,Hopewell Centre (non-residential),11/8/2020,4269,1
Central & Western,IFC Mall (non-residential),11/8/2020,4303,1
Kwun Tong,Kai Tin Shopping Centre (non-residential),11/8/2020,"4191, 4200",2
Sha Tin,Lek Yuen Estate 百樂麵包西餅 (non-residential),11/8/2020,4267,1
Wan Chai,Lucky House (non-residential),11/8/2020,4242,1
Kowloon City,Lux Theatre Building (non-residential),11/8/2020,4234,1
Yau Tsim Mong,Mong Kok Building (non-residential),11/8/2020,"3996, 4264",2
Tsuen Wan,On Fung Building (non-residential),11/8/2020,"4024, 4340",2
Tuen Mun,Tai Hing Estate Commercial Complex (non-residential),11/8/2020,"2119, 2939, 3461, 4242",4
Kwai Tsing,Tai Wo Hau Shopping Centre (non-residential),11/8/2020,"3172, 4225",2
Tuen Mun,Taoist Ching Chung Primary School (non-residential),11/8/2020,4373,1
Central & Western,The Centrium (non-residential),11/8/2020,4191,1
Sha Tin,The Salvation Army Jat Min Nursery School (non-residential),11/8/2020,4382,1
Wan Chai,Times Square (non-residential),11/8/2020,"4175, 4119",2
Tuen Mun,Tin Chak Shopping Centre (non-residential),11/8/2020,4496,1
Kwun Tong,Wah Shing Centre (non-residential),11/8/2020,4241,1
Yau Tsim Mong,Wah Yuen Factory Building (non-residential),11/8/2020,4185,1
North,21 Wo Tai Street Hung Tai (non-residential),12/8/2020,4494,1
Sha Tin,64 Chui Tin Street (non-residential),12/8/2020,4429,1
Tsuen Wan,91 Sham Tseng Village Nittaya Restaurant (non-residential),12/8/2020,4277,1
Central & Western,Albron Court (non-residential),12/8/2020,"4030, 4240",2
Eastern,Aldrich Garden Shopping Centre (non-residential),12/8/2020,4437,1
Tsuen Wan,Bellagio Mall (non-residential),12/8/2020,4277,1
Tsuen Wan,Bellagio Mall Super Super Congee & Noodle (non-residential),12/8/2020,4277,1
Tsuen Wan,Belvedere Square (non-residential),12/8/2020,4277,1
Sha Tin,"Building 16W, Phase 3, Hong Kong Science Park (non-residential)",12/8/2020,4198,1
Wan Chai,Cathay Mansion McDonald's (non-residential),12/8/2020,4296,1
Wan Chai,Causeway Bay Plaza 1 UCC Coffee Shop (non-residential),12/8/2020,4296,1
Tsuen Wan,Chan Kee Commercial Centre (non-residential),12/8/2020,4277,1
Yau Tsim Mong,Cheong Wah Commercial Building (non-residential),12/8/2020,"4425, 4539",2
Kwai Tsing,Chinabest International Centre (non-residential),12/8/2020,4291,1
Tsuen Wan,Citywalk Café De Coral (non-residential),12/8/2020,4217,1
Sha Tin,Courtyard By Marriott Hong Kong Sha Tin (non-residential),12/8/2020,4195,1
Wan Chai,Disciplined Services Sports And Recreation Club (non-residential),12/8/2020,4296,1
North,Fanling Town Centre Ocean Empire Food Shop (non-residential),12/8/2020,4240,1
Sha Tin,Fortune City One Market (non-residential),12/8/2020,"3335, 4268",2
Sha Tin,Freshall (Sha Kok Market) (non-residential),12/8/2020,"2294, 3250, 3619, 3642, 4267, 4268, 4310",7
Sha Tin,Grandeur Shopping Arcade (non-residential),12/8/2020,4296,1
Yuen Long,Ho Shun Tai Building Peony Golden Court (non-residential),12/8/2020,4432,1
Sha Tin,Hong Kong Science Park Food Lab (non-residential),12/8/2020,4198,1
Yuen Long,Hung Wan Centre Wealth Banquet (non-residential),12/8/2020,4432,1
Tsuen Wan,Kolour - Tsuen Wan I (non-residential),12/8/2020,4217,1
Tuen Mun,Leung King Plaza (non-residential),12/8/2020,"2319, 2707, 3582, 4286, 4309",5
Tuen Mun,Leung King Plaza Fairwood (non-residential),12/8/2020,4308,1
Tuen Mun,Leung Kit House Leung King Estate (non-residential),12/8/2020,4308,1
Sham Shui Po,Lok Fung Building (non-residential),12/8/2020,4479,1
Central & Western,Mandarin Oriental Hotel (non-residential),12/8/2020,4515,1
Kowloon City,Maxim Mansion 聯發餐廳小廚 (non-residential),12/8/2020,4233,1
Kwun Tong,MTR Kowloon Bay Depot (non-residential),12/8/2020,"3317, 3966, 4292",3
Eastern,Paradise Mall (non-residential),12/8/2020,"2927, 3085, 4304, 4437",4
Eastern,Paradise Mall McDonald's (non-residential),12/8/2020,4304,1
Yau Tsim Mong,Park Summit Jade Palace Chinese Restaurant (non-residential),12/8/2020,4294,1
Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre (non-residential),12/8/2020,"1435, 1558, 1980, 1997, 2234, 4309",6
Sham Shui Po,Po On Road Municipal Services Building (non-residential),12/8/2020,"2234, 2410, 2728, 2924, 3351, 3831, 3992, 4115, 4226, 4291",10
Tsuen Wan,Rhine Garden McDonald's (non-residential),12/8/2020,4277,1
Tsuen Wan,Rhine Garden Shopping Centre (non-residential),12/8/2020,4277,1
Central & Western,Sai Ying Pun Market (non-residential),12/8/2020,4240,1
Tuen Mun,Shan King Commercial Centre (non-residential),12/8/2020,"4005, 4373",2
Tuen Mun,Shan King Community Hall (non-residential),12/8/2020,4373,1
Tuen Mun,Shan King Shopping Centre (non-residential),12/8/2020,4373,1
Kwun Tong,Shun Lee Market (non-residential),12/8/2020,"4294, 4311",2
Kowloon City,Site 5 & 6 Wonderful Worlds of Whampoa (non-residential),12/8/2020,"4243, 4292",2
Yuen Long,Tai Kiu Market (non-residential),12/8/2020,"1471, 1561, 2286, 2995, 3460, 3480, 3966, 4034, 4337",9
Wan Chai,The Charterhouse (non-residential),12/8/2020,4387,1
Yau Tsim Mong,The Ma Kam Chan Memorial Building of The Chinese University of Hong Kong - TWGHs Community College (non-residential),12/8/2020,4393,1
North,Tin Ping Shopping Centre (non-residential),12/8/2020,4494,1
Kowloon City,Tower 1 Laguna Verde (non-residential),12/8/2020,4469,1
Wong Tai Sin,"Tower 1, Lions Rise (non-residential)",12/8/2020,4191,1
Tsuen Wan,Tsuen Wan Town Square (non-residential),12/8/2020,4217,1
Sai Kung,Tsui Lam Market Place (non-residential),12/8/2020,"4297, 4298",2
Sai Kung,Tsui Lam Square (non-residential),12/8/2020,4297,1
Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),12/8/2020,"1311, 1312, 1404, 1444, 1477, 1491, 1507, 1508, 1520, 1538, 1549, 1555, 1556, 1564, 1565, 1570, 1579, 1583, 1586, 1588, 1601, 1603, 1604, 1622, 1637, 1643, 1667, 1669, 1680, 1683, 1698, 1702, 1703, 1705, 1709, 1719, 1720, 1744, 1757, 1761, 1773, 1775, 1779, 1786, 1819, 1845, 1862, 1896, 1902, 1944, 1956, 1959, 1963, 2006, 2121, 2122, 2123, 2130, 2187, 2237, 2259, 2273, 2285, 2298, 2321, 2349, 2380, 2428, 2738, 2903, 2994, 3002, 3310, 3655, 3656, 3657, 3816, 3820, 3915, 3925, 4290, 4313, 4330",83
Yau Tsim Mong,Wah Yuen Factory Building (non-residential),12/8/2020,"4185, 4294",2
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),12/8/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4177, 4217",14
Islands,Ying Tung Shopping Centre (non-residential),12/8/2020,4338,1
Sha Tin,64 Chui Tin Street (non-residential),13/8/2020,4449,1
Kowloon City,"Block 3, Housing Authority Headquarters (non-residential)",13/8/2020,4441,1
Tuen Mun,Butterfly Market (non-residential),13/8/2020,4381,1
Sham Shui Po,Cheung Sha Wan Government Offices (non-residential),13/8/2020,"1501, 1890, 2128, 4433",4
Eastern,Fortress Tower (non-residential),13/8/2020,4332,1
Tai Po,Fu Shin Shopping Centre Fairwood (non-residential),13/8/2020,4438,1
Wan Chai,Immigration Tower (non-residential),13/8/2020,"1542, 1584, 1765, 2104, 2134, 2448, 2696, 3026, 4482",9
Tuen Mun,K-point (non-residential),13/8/2020,4412,1
Kowloon City,Lily Mansions Site 9 The Whampoa (non-residential),13/8/2020,4469,1
Wan Chai,Lockhart House Tower A (non-residential),13/8/2020,4583,1
Yuen Long,Long Ping Commercial Centre (non-residential),13/8/2020,"3967, 4337",2
Kwun Tong,Ngau Tau Kok Municipal Services Building (non-residential),13/8/2020,"1853, 2578, 2666, 3214, 3199, 3399, 3814, 3972, 4595",9
Yuen Long,Po Shing Building (non-residential),13/8/2020,4433,1
Kwai Tsing,Shing Mun Tunnel Administration Building (non-residential),13/8/2020,4426,1
Wong Tai Sin,Sik Sik Yuen Social Services Complex (non-residential),13/8/2020,4522,1
Tai Po,Tai Yuen Shopping Centre (non-residential),13/8/2020,"2090, 2854, 2991, 3390, 4438",5
Tsuen Wan,Tsuen Fung Centre (non-residential),13/8/2020,"3728, 4495",2
Tsuen Wan,Tsuen Fung Centre Shopping Arcade (non-residential),13/8/2020,"3728, 4495",2
Yuen Long,YOHO Mall II Café de Coral (non-residential),13/8/2020,4354,1
Kwun Tong,1 Hung To Road No. 1 Hung To Canteen (non-residential),14/8/2020,"4186, 4387",2
Eastern,Fitfort (non-residential),14/8/2020,4547,1
Kowloon City,Foka Building 東門冰室 (non-residential),14/8/2020,"4549, 4550",2
Tai Po,Fu Heng Shopping Centre (non-residential),14/8/2020,4573,1
Yau Tsim Mong,Grand Century Place (non-residential),14/8/2020,4603,1
Tuen Mun,Greenland Garden (Commercial Centre) (non-residential),14/8/2020,4656,1
Tuen Mun,Hanford Garden (non-residential),14/8/2020,4455,1
Wan Chai,Haven Court (non-residential),14/8/2020,"3664, 4199, 4401",3
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),14/8/2020,"1848, 2181, 2468, 2522, 2559, 4196, 4341, 4461",8
Yuen Long,Hop Yick Plaza (non-residential),14/8/2020,4432,1
Kowloon City,Hung Hom Municipal Services Building (non-residential),14/8/2020,"1723, 1760, 1765, 1877, 1965, 2058, 2116, 2296, 2316, 2341, 2902, 3185, 3188, 3290, 3464, 3643, 3648, 3668, 3731, 4165, 4595",21
Tai Po,Jade Plaza (non-residential),14/8/2020,4573,1
Central & Western,Kennedy Town Community Complex (non-residential),14/8/2020,4378,1
Kwai Tsing,Kwai Chung Plaza Café de Coral (non-residential),14/8/2020,"3871, 4416",2
Kwai Tsing,Kwai Chung Plaza 孖寶車仔麵 (non-residential),14/8/2020,4381,1
Kwai Tsing,Kwai Fong Plaza (non-residential),14/8/2020,4480,1
Kwai Tsing,Lai King Estate Carnival Restaurant (non-residential),14/8/2020,4460,1
Tuen Mun,Leung King Plaza Kam Tai Pan (non-residential),14/8/2020,4412,1
Kowloon City,Lux Theatre Building Fulum Fishman's Wharf Restaurant (non-residential),14/8/2020,4595,1
Wong Tai Sin,Manning Theater Building Ka Fung Restaurant (non-residential),14/8/2020,4543,1
North,Metropolis Plaza (non-residential),14/8/2020,"3975, 4494",2
Kwun Tong,Millennium City 3 (non-residential),14/8/2020,"2396, 2434, 2535, 2635, 2720, 2742, 2811, 2822, 2854, 2894, 2927, 2953, 2982, 3231, 3405, 4158, 4468",17
Tsuen Wan,OP Mall (non-residential),14/8/2020,"2529, 2690, 4495",3
Wong Tai Sin,Po Tsui Mansion (non-residential),14/8/2020,4535,1
Kowloon City,Radio Television Hong Kong Broadcasting House (non-residential),14/8/2020,4524,1
Kwun Tong,Sau Mau Ping Shopping Centre (non-residential),14/8/2020,"1863, 1865, 1897, 2031, 2035, 2071, 2449, 2623, 2902, 4529",10
Tuen Mun,Shan King Commercial Centre Cherry Cakeshop (non-residential),14/8/2020,4373,1
Kowloon City,St. Teresa’s hospital (non-residential),14/8/2020,4595,1
Central & Western,Sunwise Building Cafe Seasons (non-residential),14/8/2020,4402,1
Central & Western,Sunwise Building Da Shia Taiwan (non-residential),14/8/2020,4402,1
Kwai Tsing,Tai Wo Hau Shopping Centre (non-residential),14/8/2020,"3172, 4225, 4389",3
Tai Po,Tai Yuen Shopping Centre Old Store (non-residential),14/8/2020,4573,1
Tuen Mun,Taoist Ching Chung Primary School (non-residential),14/8/2020,4373,1
Yau Tsim Mong,The Luxe Manor (non-residential),14/8/2020,4407,1
Yuen Long,Tin Yiu Plaza (non-residential),14/8/2020,"3887, 3904, 4207, 4365",4
Wan Chai,Tower 535 (non-residential),14/8/2020,4614,1
Kwun Tong,Tsui Ping (North) Estate Café 100% (non-residential),14/8/2020,4372,1
Kwun Tong,Tsui Ping (North) Shopping Circuit (non-residential),14/8/2020,"2807, 2833, 3055, 4148, 4372",5
Yau Tsim Mong,Victoria Mall (non-residential),14/8/2020,4491,1
Eastern,Westlands Tamjai Yunnan Mixian (non-residential),14/8/2020,4684,1
Kwai Tsing,Yin Lai Court Shopping Centre Café de Coral (non-residential),14/8/2020,4457,1
Yau Tsim Mong,2W-2X Sai Yeung Choi Street South 101 Taiwanese (non-residential),15/8/2020,4447,1
Sham Shui Po,66 Pei Ho Street 榮華茶餐廳 (non-residential),15/8/2020,4458,1
Kowloon City,78 Wuhu Street 平記咖啡冰室 (non-residential),15/8/2020,4425,1
Tuen Mun,Chelsea Heights (non-residential),15/8/2020,"2177, 2598, 4448",3
Yau Tsim Mong,Eaton Hotel Superdon Express (non-residential),15/8/2020,4607,1
Eastern,Fitfort Café de Coral (non-residential),15/8/2020,4547,1
Kwun Tong,Hiu Lai Shopping Centre (non-residential),15/8/2020,4529,1
Wong Tai Sin,Hsin Kuang Centre 廣東燒味餐廳 (non-residential),15/8/2020,4419,1
Tsuen Wan,Indi home (non-residential),15/8/2020,"4413, 4540",2
Tsuen Wan,Indihome Green River Restaurant (non-residential),15/8/2020,4413,1
Tsuen Wan,Indihome Maxim's MX (non-residential),15/8/2020,4413,1
Kowloon City,Ka Wai Plaza McDonald's (non-residential),15/8/2020,4345,1
Yuen Long,Kingswood Ginza (non-residential),15/8/2020,4561,1
Yuen Long,Kingswood Ginza Café 100% (non-residential),15/8/2020,4561,1
Kwun Tong,Kowloonbay International Trade & Exhibition Centre Tomato Club (non-residential),15/8/2020,4468,1
Kwai Tsing,Kwai Chung Plaza (non-residential),15/8/2020,"1820, 1996, 2332, 2455, 2459, 2465, 2602, 3018, 3026, 3040, 3058, 4495",12
Kwai Tsing,Kwai Chung Plaza Café de Coral (non-residential),15/8/2020,"3871, 4416, 4417",3
Wong Tai Sin,Lee Ka Factory Building (non-residential),15/8/2020,4447,1
Tuen Mun,Leung King Plaza (non-residential),15/8/2020,"2319, 2707, 3582, 4286, 4309, 4339, 4374, 4430, 4431, 4467",10
Sai Kung,Lohas Park Wings at Sea Tower 1A (non-residential),15/8/2020,4447,1
North,Luen Wo Hui Municipal Services Building (non-residential),15/8/2020,"1568, 2167, 2357, 2770, 2991, 4638",6
Kwai Tsing,MTR Kwai Fong Station (non-residential),15/8/2020,"4416, 4460, 4480",3
Tuen Mun,New Town Commercial Arcade (non-residential),15/8/2020,4448,1
Eastern,Phase 1 Healthy Village McDonald's (non-residential),15/8/2020,4547,1
Sai Kung,Popcorn (non-residential),15/8/2020,4701,1
Kwai Tsing,Rambler Oasis Hotel (non-residential),15/8/2020,4454,1
Tuen Mun,San Hui Market (non-residential),15/8/2020,"1471, 1561, 1907, 1931, 2154, 2381, 2458, 2493, 2598, 2691, 2889, 3386, 3395, 3742, 4446",15
